ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
9972317,HY161967,12/24/2014 12:01:00 AM,023XX S LAKE SHORE DR W,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESTAURANT,false,false,0132,001,2,33,10
9983446,HY172888,12/29/2014 07:00:00 PM,114XX S CHURCH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,2212,022,19,75,08A
10394904,HZ131313,01/28/2016 03:00:00 AM,005XX W 76TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0621,006,17,69,08B
10394952,HZ131319,01/28/2016 04:10:00 AM,072XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0735,007,17,67,08B
10395042,HZ131357,01/28/2016 06:20:00 AM,091XX S CHAPPEL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0413,004,8,48,07
10395398,HZ131539,01/28/2016 08:40:00 AM,008XX W 119TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0524,005,34,53,06
10395763,HZ131687,01/28/2016 11:00:00 AM,0000X E 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,0511,005,6,49,08B
10395847,HZ131915,01/28/2016 11:52:00 AM,0000X E WALTON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SMALL RETAIL STORE,false,false,1833,018,42,8,11
10395927,HZ132023,01/28/2016 03:22:00 PM,021XX W PETERSON AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,2413,024,40,2,06
10396102,HZ132272,01/28/2016 06:30:00 PM,120XX S EMERALD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0523,005,34,53,07
10396157,HZ132304,01/28/2016 06:43:00 PM,010XX W 71ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0733,007,17,68,18
10397962,HZ134182,01/28/2016 08:00:00 AM,071XX S WOOD ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0735,007,17,67,05
10402352,HZ138755,12/09/2015 08:00:00 AM,031XX N BROADWAY,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,false,false,1934,019,44,6,11
